job_titles1,year,Location,Level,StandardJobTitle,YearsOfExperience
 Business Development Specialist - Upper Egypt, 2021, - Aswan Egypt,Experienced,Software Engneering ,2
 Senior/Intermediate .NET Core Developer (Remote..., 2021, - Cairo Egypt,Experienced,Software Engneering ,4
 Senior Software Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,6
 Software Developer / Desktop Development, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,0
 Senior Software Developer -Dynamics 365..., 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 Senior Software Developer - Java, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 Vodafone Egypt Customer Care Advisor, 2021, - Maadi Cairo,Entry Level,Software Engneering ,0
 Software Developer - As/400 Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 IT Developer, 2021, - New Cairo Cairo,Experienced,IT Category,2
 Software Developer (AWS Serverless Experience), - Maadi,un known,Entry Level,Software Engneering ,1
 Senior Software Developer – C# + Blazor, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Software Developer, 2021, - Cairo Egypt,Entry Level,Software Engneering ,1
 Software Web Tester, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Senior Software Developer, - Mohandessin,un known,Experienced,Software Engneering ,4
 Software Developer (Gupta Programming), 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Software Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Software Business Development Executive, 2021, - Heliopolis Cairo,Experienced,Software Engneering ,2
 Software Business Development Executive, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Senior Software Developer, - Nasr City,un known,Experienced,Software Engneering ,4
 Software Developer – Backend, - 6th Of October,un known,Entry Level,Software Engneering ,1
 Software Developer – Frontend, - 6th Of October,un known,Entry Level,Software Engneering ,1
 Software Developer, 2021, - Heliopolis Cairo,Entry Level,Software Engneering ,2
 Software Developer - CRM, 2021, - Maadi Cairo,Experienced,Software Engneering ,5
 Associate Software Developer - CRM, 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Software Developer, 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Java Software Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Senior Full Stack Software Developer, - Maadi,un known,Experienced,Software Engneering ,5
 Software Developer - Experienced, 2021, - Nasr City Cairo,Experienced,Software Engneering ,3
 Principal Software Developer - VueJS, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 Senior Software Developer - VB.Net, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Mid-level Software Developer, 2021, - Alexandria Egypt,Experienced,Software Engneering ,3
 Software iSeries Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Software Development Engineer / Test SDET..., - New Cairo,un known,Experienced,Software Engneering ,3
 Software Developer (.Net Core), 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 Software Testing Engineer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Software Java Developer (JPA), 2021, - Smart Village Giza,Entry Level,Software Engneering ,1
 Software Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Senior Software Developer (.NET), 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Software Developer - PHP/Open Source, 2021, - Alexandria Egypt,Experienced,Software Engneering ,3
 Senior Software Developer, 2021, - Maadi Cairo,Manager,Software Engneering ,3
 Senior Software Developer (.Net Core), 2021, - Cairo Egypt,Experienced,Software Engneering ,3
 Software Developer, 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 Software Development (Back End .Net) Team Lead, 2021, - New Cairo Cairo,Manager,Software Engneering ,5
 Software Mobile Developer, 2021, - Sheraton Cairo,Entry Level,Software Engneering ,1
 Senior Software Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 Software Developer, 2021, - Sheraton Cairo,Entry Level,Software Engneering ,0
 Upper Egypt Area Manager (Operations), 2021, - Assiut Egypt,Manager,Software Engneering ,5
 Senior Software Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,8
 Senior ADF Software Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
 Senior Software Quality Control Engineer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Senior Software Engineer C++, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Software Developer, 2021, - Nasr City Cairo,Experienced,Software Engneering ,5
 Senior Software Developer, 2021, - 6th Of October Giza,Experienced,Software Engneering ,5
 Software Engineer - Java Developer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Software Developer-Iamproperty Team (UK) -..., 2021, - Alexandria Egypt,Experienced,Software Engneering ,3
 IT Manager (Head Of IT) - (World Class..., 2021, - Cairo Egypt,Manager,IT Category,10
 Senior Software Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Software Developer, 2021, - 10th Of Ramadan City Sharqia,Manager,Software Engneering ,14
 Senior Software Developer (Focusing on .NET), 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Senior Full Stack Software Developer (Focusing..., 2021, - Maadi Cairo,Experienced,Software Engneering ,3
 Backend Software Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Software Business Development Representative..., 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 Senior Embedded Software Engineer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,5
 Senior Software Testing Engineer, 2021, - Agouza Giza,Experienced,Software Engneering ,4
 Software Developer - Front-End (React), 2021, - Nasr City Cairo,Entry Level,Software Engneering ,1
 Software Development Engineer (Machine Learning), 2021, - Sheraton Cairo,Entry Level,Software Engneering ,0
 Senior Software Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,4
